simTime,MCC_idx,packet_is_loss
0.10003048,4,0
0.10005048,4,0
0.10007048,3,0
0.20003048,2,0
0.20005048,4,0
0.20006048,2,0
0.20007048,1,0
0.30003048,3,0
0.30005048,0,0
0.30006048,1,0
0.40003048,1,0
0.40004048,2,0
0.40005048,1,0
0.40006048,0,0
0.40007048,2,0
0.50003048,1,0
0.50004048,0,0
0.50005048,1,0
0.50006048,2,0
0.50007048,1,0
0.60003048,1,0
0.60004048,4,0
0.60005048,0,0
0.60007048,1,0
0.70003048,3,0
0.70004048,2,0
0.70005048,3,0
0.70006048,4,0
0.70007048,0,0
0.80003048,4,0
0.80005048,1,0
0.80006048,2,0
0.80007048,0,0
0.90003048,4,0
0.90004048,3,0
0.90005048,1,0
0.90006048,4,0
0.90007048,0,0
1.00003048,3,0
1.00004048,0,0
1.00006048,4,0
1.00007048,3,0
1.10003048,3,0
1.10004048,2,0
1.10005048,0,0
1.10007048,1,0
1.20003048,4,0
1.20004048,3,0
1.20005048,1,0
1.20006048,4,0
1.20007048,3,0
1.30003048,4,0
1.30005048,1,0
1.30007048,0,0
1.40003048,1,0
1.40004048,0,0
1.40005048,4,0
1.40006048,0,0
1.50003048,1,0
1.50004048,3,0
1.50005048,1,0
1.50007048,1,0
1.60003048,3,0
1.60005048,4,0
1.60006048,1,0
1.60007048,0,0
1.70003048,1,0
1.70004048,3,0
1.70005048,1,0
1.70006048,4,0
1.70007048,0,0
1.80003048,1,0
1.80004048,0,0
1.80006048,0,0
1.80007048,3,0
1.90003048,1,0
1.90004048,0,0
1.90005048,3,0
1.90006048,4,0
1.90007048,1,0
2.00003048,1,0
2.00004048,0,0
2.00005048,1,0
2.00007048,1,0
2.10003048,1,0
2.10004048,4,0
2.10005048,3,0
2.10006048,1,0
2.10007048,0,0
2.20003048,2,0
2.20004048,3,0
2.20005048,1,0
2.20006048,0,0
2.30003048,2,0
2.30004048,0,0
2.30005048,4,0
2.30006048,1,0
2.30007048,0,0
2.40003048,4,0
2.40005048,0,0
2.40006048,1,0
2.40007048,0,0
2.50003048,2,0
2.50004048,0,0
